Código Municipio;Municipio ;Código Departamento;Departamento;Actividades primarias *;Actividades secundarias **;Actividades terciarias ***;"Valor agregado
";Peso relativo municipal en el valor agregado departamental (%)
05001;MEDELLIN;05;Antioquia;255.4927532;14706.33682;69562.49736;84524.32693; 40.3 
05002;ABEJORRAL;05;Antioquia;279.4558323;24.11009687;207.8043917;511.3703208; 0.2 
05004;ABRIAQUI;05;Antioquia;22.86494093;2.624670594;28.92852357;54.41813509; 0.0 
05021;ALEJANDRIA;05;Antioquia;14.4323193;4.102331841;65.04837067;83.58302181; 0.0 
05030;AMAGA;05;Antioquia;89.17519768;352.2951666;408.7152597;850.1856239; 0.4 
05031;AMALFI;05;Antioquia;91.18627588;59.61727648;1233.809715;1384.613268; 0.7 
05034;ANDES;05;Antioquia;196.2827808;82.67386051;586.3144136;865.271055; 0.4 
05036;ANGELOPOLIS;05;Antioquia;52.1646605;6.245160884;73.26822618;131.6780476; 0.1 
05038;ANGOSTURA;05;Antioquia;44.24707766;8.947711584;126.0826239;179.2774131; 0.1 
05040;ANORI;05;Antioquia;208.9612164;12.89866744;210.5072258;432.3671096; 0.2 
05042;SANTAFE DE ANTIOQUIA;05;Antioquia;60.50533398;20.35388483;417.9078051;498.7670239; 0.2 
05044;ANZA;05;Antioquia;106.0644103;8.837860615;75.3303803;190.2326512; 0.1 
05045;APARTADO;05;Antioquia;1124.306815;216.6142323;2319.348647;3660.269695; 1.7 
05051;ARBOLETES;05;Antioquia;138.9987317;24.46114217;336.8422598;500.3021337; 0.2 
05055;ARGELIA;05;Antioquia;31.10735121;5.556055557;73.58858739;110.2519942; 0.1 
05059;ARMENIA;05;Antioquia;21.60563351;4.11842162;55.92264438;81.64669951; 0.0 
05079;BARBOSA;05;Antioquia;224.9396114;642.544569;829.510823;1696.995003; 0.8 
05086;BELMIRA;05;Antioquia;44.3890092;6.244506076;80.54319988;131.1767152; 0.1 
05088;BELLO;05;Antioquia;88.32293918;1370.275475;7468.885306;8927.48372; 4.3 
05091;BETANIA;05;Antioquia;154.6733962;13.55924166;124.5777888;292.8104267; 0.1 
05093;BETULIA;05;Antioquia;149.7324842;16.27783761;176.3595267;342.3698485; 0.2 
05101;CIUDAD BOLIVAR;05;Antioquia;166.0425227;24.26578829;378.1282865;568.4365974; 0.3 
05107;BRICEÑO;05;Antioquia;43.61776041;6.071547134;94.74429242;144.4336; 0.1 
05113;BURITICA;05;Antioquia;1899.990119;7.007036596;111.8321045;2018.82926; 1.0 
05120;CACERES;05;Antioquia;136.5744393;24.59758578;370.8901032;532.0621282; 0.3 
05125;CAICEDO;05;Antioquia;53.97298299;7.546297144;94.13237544;155.6516556; 0.1 
05129;CALDAS;05;Antioquia;120.2017141;425.9700545;1253.412697;1799.584465; 0.9 
05134;CAMPAMENTO;05;Antioquia;21.01124554;6.106588624;91.99688787;119.114722; 0.1 
