DP;Departamento;MPIO;Municipio;Superficie;PopTot;Rural;Region;depa_nombre;muni_nombre;nombre_prestador;nit_prestador;clase_prestador;ese;naturaleza_juridica;caracter_territorial;nivel_atencion;nombre_sede_prestador;FECHA_RENOVACION_CICLO;FECHA_ULTIMA_ACREDITACION;fecha_vencimiento_acreditacion;fecha_generacion_este_reporte;field15;field16;field17;field18;field19;field20;field21;field22;field23;field24;field25;field26;field27;field28;field29;field30;field31;field32;field33;field34;field35;C�digo Municipio;Municipio:1;C�digo Departamento;Departamento:1;Actividades primarias *;Actividades secundarias **;Actividades terciarias ***;Valor agregado;Peso relativo municipal en el valor agregado departamental (%)
5;Antioquia;5001;MEDELLIN;350.6666228;2634570;0.016;Region Eje Cafetero;Antioquia;MEDELLIN;HOSPITAL PABLO TOBON URIBE;890901826;Instituciones Prestadoras de Servicios de Salud - IPS;NO;Privada;;;HOSPITAL PABLO TOBON URIBE;20250901;20220201;20260131;18/05/2025 8:24:24 p.m.;;;;;;;;;;;;;;;;;;;;;;5001;MEDELLIN;5;Antioquia;255.4927532;14706.33682;69562.49736;84524.32693;40.3
5;Antioquia;5001;MEDELLIN;350.6666228;2634570;0.016;Region Eje Cafetero;Antioquia;MEDELLIN;UNIVERSIDAD PONTIFICIA BOLIVARIANA;890902922;Instituciones Prestadoras de Servicios de Salud - IPS;NO;Privada;;;CLINICA UNIVERSITARIA BOLIVARIANA;20260108;20220718;20260717;18/05/2025 8:24:24 p.m.;;;;;;;;;;;;;;;;;;;;;;5001;MEDELLIN;5;Antioquia;255.4927532;14706.33682;69562.49736;84524.32693;40.3
5;Antioquia;5001;MEDELLIN;350.6666228;2634570;0.016;Region Eje Cafetero;Antioquia;MEDELLIN;FUNDACION HOSPITALARIA SAN VICENTE DE PAUL;890900518;Instituciones Prestadoras de Servicios de Salud - IPS;NO;Privada;;;FUNDACION HOSPITALARIA SAN VICENTE DE PAUL;20260225;20220728;20260727;18/05/2025 8:24:24 p.m.;;;;;;;;;;;;;;;;;;;;;;5001;MEDELLIN;5;Antioquia;255.4927532;14706.33682;69562.49736;84524.32693;40.3
5;Antioquia;5001;MEDELLIN;350.6666228;2634570;0.016;Region Eje Cafetero;Antioquia;MEDELLIN;FUNDACION JAVERIANA DE SERVICIOS MEDICOS ODONTOLOGICOS INTERUNIVERSITARIOS CARLOS MARQUEZ VILLEGAS - JAVESALUD;830018305;Instituciones Prestadoras de Servicios de Salud - IPS;;Privada;;;Javesalud Allianz Medellin;20260518;20221018;20261017;18/05/2025 8:24:24 p.m.;;;;;;;;;;;;;;;;;;;;;;5001;MEDELLIN;5;Antioquia;255.4927532;14706.33682;69562.49736;84524.32693;40.3
5;Antioquia;5001;MEDELLIN;350.6666228;2634570;0.016;Region Eje Cafetero;Antioquia;MEDELLIN;HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO;890904646;Instituciones Prestadoras de Servicios de Salud - IPS;SI;Publica;MUNICIPAL;3;HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO;20261001;20230303;20270302;18/05/2025 8:24:24 p.m.;;;;;;;;;;;;;;;;;;;;;;5001;MEDELLIN;5;Antioquia;255.4927532;14706.33682;69562.49736;84524.32693;40.3
5;Antioquia;5001;MEDELLIN;350.6666228;2634570;0.016;Region Eje Cafetero;Antioquia;MEDELLIN;COMUNIDAD DE HERMANAS DOMINICAS DE LA PRESENTACION DE LA SANTISIMA VIRGEN DE TOURS PROVINCIA DE MEDELLIN;890905843;Instituciones Prestadoras de Servicios de Salud - IPS;NO;Privada;;;CLINICA EL ROSARIO SEDE EL TESORO;20270518;20231018;20271017;18/05/2025 8:24:24 p.m.;;;;;;;;;;;;;;;;;;;;;;5001;MEDELLIN;5;Antioquia;255.4927532;14706.33682;69562.49736;84524.32693;40.3
5;Antioquia;5002;ABEJORRAL;497.5662125;21622;0.567;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5002;ABEJORRAL;5;Antioquia;279.4558323;24.11009687;207.8043917;511.3703208;0.2
5;Antioquia;5004;ABRIAQUI;287.641603;2872;0.642;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5004;ABRIAQUI;5;Antioquia;22.86494093;2.624670594;28.92852357;54.41813509;0
5;Antioquia;5021;ALEJANDRIA;119.4676832;4989;0.407;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5021;ALEJANDRIA;5;Antioquia;14.4323193;4.102331841;65.04837067;83.58302181;0
5;Antioquia;5030;AMAGA;89.24590345;32628;0.474;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5030;AMAGA;5;Antioquia;89.17519768;352.2951666;408.7152597;850.1856239;0.4
5;Antioquia;5031;AMALFI;1301.657433;28059;0.391;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5031;AMALFI;5;Antioquia;91.18627588;59.61727648;1233.809715;1384.613268;0.7
5;Antioquia;5034;ANDES;367.837127;46485;0.476;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5034;ANDES;5;Antioquia;196.2827808;82.67386051;586.3144136;865.271055;0.4
5;Antioquia;5036;ANGELOPOLIS;74.20409971;6183;0.557;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5036;ANGELOPOLIS;5;Antioquia;52.1646605;6.245160884;73.26822618;131.6780476;0.1
5;Antioquia;5038;ANGOSTURA;355.2864778;12190;0.718;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5038;ANGOSTURA;5;Antioquia;44.24707766;8.947711584;126.0826239;179.2774131;0.1
